time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-15,27.2,23.0,34.0,,,,8.8,,1010.1,
2020-01-16,27.3,23.0,33.0,,,,7.4,,1010.5,
2020-01-17,27.7,,,,,,8.2,,1010.5,
2020-01-18,28.2,23.0,33.0,,,,5.0,,1009.8,
2020-01-19,29.6,24.0,34.0,,,,8.2,,1010.2,
2020-01-20,29.1,25.0,35.0,,,,7.1,,1011.5,
2020-01-21,29.1,24.0,36.0,,,,6.9,,1011.6,
2020-01-22,28.7,23.0,35.0,,,,7.9,,1011.4,
2020-01-23,29.4,24.0,35.0,,,,8.5,,1010.3,
2020-01-24,29.0,24.0,36.0,,,,6.4,,1010.5,
2020-01-25,28.0,22.0,35.0,,,,5.5,,1011.5,
2020-01-26,27.2,21.0,34.0,,,,7.5,,1011.2,
2020-01-27,27.2,22.0,33.0,,,,8.0,,1011.5,
2020-01-28,28.2,24.0,34.0,,,,8.1,,1011.6,
2020-01-29,28.3,23.0,34.0,,,,9.8,,1011.8,
2020-01-30,28.5,24.0,34.0,,,,8.0,,1011.3,
2020-01-31,28.5,24.0,35.0,,,,9.9,,1010.1,
2020-02-01,28.5,24.0,34.0,,,,7.9,,1010.5,
2020-02-02,27.8,24.0,33.0,,,,8.3,,1012.2,
2020-02-03,27.6,22.0,34.0,,,,9.0,,1012.1,
2020-02-04,28.1,23.0,35.0,,,,6.9,,1011.0,
2020-02-05,28.5,23.0,35.0,,,,6.6,,1011.2,
2020-02-06,28.8,25.0,34.0,,,,8.7,,1011.4,
2020-02-07,28.5,26.0,33.0,,,,9.0,,1012.0,
2020-02-08,28.2,24.0,34.0,,,,8.3,,1012.5,
2020-02-09,28.8,24.0,36.0,,,,7.6,,1011.3,
2020-02-10,29.2,24.0,36.0,,,,6.8,,1010.5,
2020-02-11,29.0,23.0,36.0,,,,7.4,,1010.2,
2020-02-12,29.2,22.0,37.0,,,,4.8,,1011.8,
2020-02-13,29.5,24.0,35.0,,,,7.5,,1012.0,
2020-02-14,29.3,25.0,35.0,,,,7.8,,1010.9,
2020-02-15,29.0,25.0,34.0,,,,8.4,,1010.8,
2020-02-16,29.7,27.0,35.0,,,,8.4,,1011.2,
2020-02-17,29.5,24.0,36.0,,,,8.1,,1011.4,
2020-02-18,28.5,23.0,35.0,,,,6.9,,1011.7,
2020-02-19,27.9,23.0,35.0,,,,7.4,,1011.4,
2020-02-20,28.0,22.0,36.0,,,,6.6,,1010.5,
2020-02-21,28.5,21.0,36.0,,,,7.5,,1011.5,
2020-02-22,30.1,,,,,,7.8,,1011.9,
2020-02-23,29.9,26.0,35.0,,,,7.7,,1011.6,
2020-02-24,29.2,24.0,36.0,,,,6.6,,1009.8,
2020-02-25,29.3,25.0,35.0,,,,6.8,,1009.6,
2020-02-26,29.3,25.0,36.0,,,,7.0,,1009.5,
2020-02-27,29.9,27.0,35.0,,,,6.8,,1009.6,
2020-02-28,29.3,26.0,35.0,,,,8.2,,1008.5,
2020-02-29,29.0,26.0,34.0,,,,8.0,,1009.2,
2020-03-01,29.5,25.0,35.0,,,,8.2,,1009.4,
2020-03-02,29.3,26.0,34.0,,,,8.4,,1010.4,
2020-03-03,29.4,26.0,34.0,,,,7.7,,1010.7,
2020-03-04,29.6,26.0,34.0,,,,9.1,,1010.0,
2020-03-05,29.0,26.0,33.0,,,,9.6,,1009.5,
2020-03-06,29.9,,,,,,9.2,,1009.8,
2020-03-07,29.6,26.0,34.0,,,,7.8,,1011.0,
2020-03-08,29.8,26.0,35.0,,,,8.2,,1010.2,
2020-03-09,29.8,27.0,35.0,,,,9.1,,1009.2,
2020-03-10,29.8,26.0,35.0,,,,10.1,,1009.3,
2020-03-11,30.5,27.0,35.0,,,,9.3,,1010.1,
2020-03-12,30.2,26.0,35.0,,,,10.9,,1010.9,
2020-03-13,30.5,26.0,36.0,,,,11.3,,1010.6,
2020-03-14,30.0,25.0,36.0,,,,7.7,,1009.7,
2020-03-15,30.1,25.0,36.0,,,,8.1,,1009.1,
2020-03-16,30.6,26.0,35.0,,,,7.5,,1010.2,
2020-03-17,30.9,26.0,38.0,,,,7.8,,1010.9,
2020-03-18,30.8,26.0,37.0,,,,9.0,,1010.7,
2020-03-19,29.8,26.0,36.0,,,,10.0,,1011.0,
2020-03-20,29.6,25.0,35.0,,,,9.4,,1010.9,
